station_name,lat,lng,no_return_pc,daily_deps,daily_arrs
65 Pl & Woodside Ave,40.74334,-73.89903,-4.2,1.2,1.3
65 St & 2 Ave,40.640493,-74.02564,-17.2,1.2,1.4
65 St & 35 Ave,40.75053,-73.8977,-2.0,2.3,2.3
65 St & Broadway,40.7493722738996,-73.89738768339157,-2.3,1.1,1.1
65 St & Roosevelt Ave,40.74589,-73.89915,-7.8,1.2,1.3
67 St & Erik Pl,40.633385,-74.016562,-6.1,6.0,6.4
67 St & Ridge Blvd,40.638799,-74.027472,-1.9,4.3,4.4
69 St & 43 Ave,40.74179,-73.89564,-3.8,1.2,1.3
7 Ave & 17 St,40.66093779493168,-73.98680448532104,-0.3,12.2,12.2
7 Ave & 20 St,40.659053,-73.98854,7.1,16.9,15.7
7 Ave & 22 St,40.658029,-73.989605,16.3,8.5,7.1
7 Ave & 40 St,40.648169,-74.000057,19.1,9.6,7.7
7 Ave & 41 St,40.647379,-74.000911,9.2,17.7,16.1
7 Ave & 62 St,40.63556,-74.01298,-5.0,2.0,2.1
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,0.5,206.1,205.0
7 Ave & Park Pl,40.6776147,-73.97324283,-1.0,95.6,96.6
7 Ave S & Bleecker St,40.73213896287381,-74.00363802909851,-1.3,132.2,133.9
7 St & 3 Ave,40.67260298150126,-73.98983001708984,-2.2,28.2,28.8
7 St & 5 Ave,40.6704922,-73.98541675,-0.8,37.1,37.4
7 St & Monroe St,40.74641264837719,-74.03797701001167,,0.0,0.0
72 St & 41 Ave,40.7448,-73.89377,-0.6,4.1,4.1
72 St & Woodside Ave,40.74288,-73.89283,-4.2,1.6,1.7
76 St & 21 Ave,40.77028,-73.893675,-1.5,5.3,5.3
8 Ave & W 16 St,40.740983,-74.001702,0.2,209.9,209.5
8 Ave & W 24 St,40.74591072834279,-73.99807110428809,2.7,71.2,69.3
8 Ave & W 27 St,40.747968,-73.996637,3.7,94.8,91.3
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,-1.3,211.8,214.5
8 Ave & W 33 St,40.751551,-73.993934,-1.8,232.5,236.8
8 Ave & W 38 St,40.75461,-73.99177,-0.3,217.4,218.0
8 Ave & W 49 St,40.76171227910671,-73.98655101656914,5.3,146.6,138.8
8 Ave & W 52 St,40.76370739,-73.9851615,0.0,154.8,154.8
8 St & Astoria Blvd,40.7725996921817,-73.93266275525093,-0.8,18.7,18.9
8 St & Washington St,40.74598388291562,-74.02819901704788,,0.0,0.0
9 Ave & W 18 St,40.74317449,-74.00366443,-1.0,160.9,162.5
9 Ave & W 204 St,40.86169883507865,-73.91855701804161,-9.0,0.5,0.6
9 Ave & W 206 St,40.86308937813274,-73.9175833761692,-17.8,1.0,1.1
9 Ave & W 219 St,40.871094,-73.911503,-1.4,0.8,0.8
